Dataset,Model,Period,Feature,Rank
Google,QDA,23,7,6
Google,QDA,23,3,6
Google,QDA,23,5,6
Google,QDA,24,10,1
Google,QDA,24,2,2
Google,QDA,24,1,2
Google,QDA,24,4,2
Google,QDA,24,0,2
Google,QDA,24,9,3
Google,QDA,24,11,4
Google,QDA,24,8,5
Google,QDA,24,6,5
Google,QDA,24,3,5
Google,QDA,24,5,6
Google,QDA,24,7,6
Google,QDA,25,10,1
Google,QDA,25,0,2
Google,QDA,25,2,3
Google,QDA,25,9,4
Google,QDA,25,11,4
Google,QDA,25,8,5
Google,QDA,25,1,6
Google,QDA,25,5,6
Google,QDA,25,4,6
Google,QDA,25,7,7
Google,QDA,25,3,7
Google,QDA,25,6,7
Google,QDA,26,10,1
Google,QDA,26,2,2
Google,QDA,26,4,3
Google,QDA,26,9,4
Google,QDA,26,11,4
Google,QDA,26,0,5
Google,QDA,26,3,6
Google,QDA,26,8,6
Google,QDA,26,7,6
Google,QDA,26,1,6
Google,QDA,26,5,6
Google,QDA,26,6,6
Google,QDA,27,0,1
Google,QDA,27,2,2
Google,QDA,27,3,3
Google,QDA,27,1,3
Google,QDA,27,8,4
Google,QDA,27,11,4
Google,QDA,27,10,5
Google,QDA,27,9,5
Google,QDA,27,7,5
Google,QDA,27,4,5
Google,QDA,27,6,6
Google,QDA,27,5,6
Google,QDA,28,2,1
Google,QDA,28,0,1
Google,QDA,28,1,1
Google,QDA,28,10,1
Google,QDA,28,4,2
Google,QDA,28,8,3
Google,QDA,28,6,3
Google,QDA,28,9,4
Google,QDA,28,5,4
Google,QDA,28,3,4
Google,QDA,28,7,5
Google,QDA,28,11,5
Google,LR,1,10,1
Google,LR,1,11,2
Google,LR,1,0,3
Google,LR,1,2,3
Google,LR,1,4,4
Google,LR,1,9,4
Google,LR,1,7,4
Google,LR,1,1,4
Google,LR,1,3,4
Google,LR,1,6,4
Google,LR,1,5,4
Google,LR,1,8,4
Google,LR,2,10,1
Google,LR,2,4,2
Google,LR,2,1,2
Google,LR,2,0,2
Google,LR,2,2,2
Google,LR,2,5,3
Google,LR,2,8,3
Google,LR,2,9,3
Google,LR,2,3,3
Google,LR,2,6,3
Google,LR,2,7,3
Google,LR,2,11,3
Google,LR,3,10,1
Google,LR,3,0,2
Google,LR,3,1,3
Google,LR,3,11,3
Google,LR,3,5,3
Google,LR,3,3,3
Google,LR,3,8,3
Google,LR,3,9,3
Google,LR,3,7,3
Google,LR,3,2,3
Google,LR,3,6,3
Google,LR,3,4,3
Google,LR,4,10,1
Google,LR,4,4,2
Google,LR,4,9,3
Google,LR,4,1,4
Google,LR,4,11,5
Google,LR,4,8,5
Google,LR,4,5,5
Google,LR,4,0,5
Google,LR,4,3,5
Google,LR,4,7,5
Google,LR,4,6,5
Google,LR,4,2,5
Google,LR,5,9,1
Google,LR,5,10,2
Google,LR,5,2,3
Google,LR,5,0,3
Google,LR,5,4,3
Google,LR,5,8,3
Google,LR,5,7,3
Google,LR,5,3,3
Google,LR,5,5,3
Google,LR,5,11,3
Google,LR,5,6,3
Google,LR,5,1,3
Google,LR,6,9,1
Google,LR,6,10,2
Google,LR,6,8,2
Google,LR,6,2,2
Google,LR,6,1,2
Google,LR,6,11,2
Google,LR,6,4,2
Google,LR,6,5,2
Google,LR,6,0,2
Google,LR,6,6,2
Google,LR,6,3,2
Google,LR,6,7,2
Google,LR,7,6,1
Google,LR,7,1,2
Google,LR,7,2,2
Google,LR,7,0,2
Google,LR,7,4,2
Google,LR,7,9,3
Google,LR,7,11,3
Google,LR,7,3,3
Google,LR,7,10,3
Google,LR,7,5,3
Google,LR,7,7,3
Google,LR,7,8,3
Google,LR,8,0,1
Google,LR,8,10,2
Google,LR,8,5,3
Google,LR,8,7,4
Google,LR,8,8,4
Google,LR,8,11,4
Google,LR,8,4,4
Google,LR,8,1,4
Google,LR,8,6,4
Google,LR,8,2,4
Google,LR,8,3,4
Google,LR,8,9,4
Google,LR,9,10,1
Google,LR,9,0,2
Google,LR,9,7,3
Google,LR,9,2,3
Google,LR,9,11,3
Google,LR,9,6,3
Google,LR,9,8,4
Google,LR,9,5,4
Google,LR,9,3,4
Google,LR,9,1,4
Google,LR,9,9,4
Google,LR,9,4,4
Google,LR,10,0,1
Google,LR,10,10,2
Google,LR,10,4,2
Google,LR,10,9,3
Google,LR,10,3,4
Google,LR,10,2,4
Google,LR,10,11,5
Google,LR,10,6,5
Google,LR,10,5,5
Google,LR,10,1,5
Google,LR,10,8,5
Google,LR,10,7,5
Google,LR,11,10,1
Google,LR,11,2,2
Google,LR,11,11,2
Google,LR,11,9,2
Google,LR,11,4,2
Google,LR,11,1,2
Google,LR,11,5,2
Google,LR,11,3,2
Google,LR,11,6,2
Google,LR,11,7,2
Google,LR,11,8,2
Google,LR,11,0,2
Google,LR,12,10,1
Google,LR,12,11,2
Google,LR,12,0,3
Google,LR,12,7,3
Google,LR,12,4,3
Google,LR,12,1,3
Google,LR,12,2,3
Google,LR,12,5,3
Google,LR,12,8,3
Google,LR,12,6,3
Google,LR,12,9,3
Google,LR,12,3,3
Google,LR,13,10,1
Google,LR,13,2,2
Google,LR,13,6,2
Google,LR,13,11,2
Google,LR,13,4,2
Google,LR,13,5,3
Google,LR,13,0,3
Google,LR,13,1,3
Google,LR,13,7,3
Google,LR,13,9,3
Google,LR,13,3,3
Google,LR,13,8,3
Google,LR,14,0,1
Google,LR,14,2,1
Google,LR,14,8,1
Google,LR,14,6,2
Google,LR,14,10,3
Google,LR,14,5,3
Google,LR,14,11,4
Google,LR,14,4,4
Google,LR,14,3,4
Google,LR,14,9,4
Google,LR,14,1,4
Google,LR,14,7,4
Google,LR,15,0,1
Google,LR,15,10,2
Google,LR,15,11,3
Google,LR,15,9,4
Google,LR,15,6,4
Google,LR,15,4,4
Google,LR,15,1,4
Google,LR,15,8,4
Google,LR,15,3,5
Google,LR,15,5,5
Google,LR,15,7,5
Google,LR,15,2,5
Google,LR,16,0,1
Google,LR,16,6,2
Google,LR,16,3,3
Google,LR,16,9,4
Google,LR,16,10,5
Google,LR,16,2,5
Google,LR,16,11,5
Google,LR,16,7,6
Google,LR,16,1,6
Google,LR,16,8,6
Google,LR,16,5,6
Google,LR,16,4,6
Google,LR,17,10,1
Google,LR,17,6,2
Google,LR,17,4,2
Google,LR,17,0,2
Google,LR,17,11,2
Google,LR,17,2,2
Google,LR,17,7,3
Google,LR,17,3,3
Google,LR,17,9,3
Google,LR,17,5,3
Google,LR,17,1,4
Google,LR,17,8,4
Google,LR,18,10,1
Google,LR,18,0,2
Google,LR,18,9,3
Google,LR,18,11,4
Google,LR,18,2,4
Google,LR,18,3,4
Google,LR,18,6,4
Google,LR,18,8,4
Google,LR,18,4,4
Google,LR,18,7,4
Google,LR,18,5,4
Google,LR,18,1,4
Google,LR,19,10,1
Google,LR,19,1,2
Google,LR,19,9,2
Google,LR,19,11,3
Google,LR,19,8,4
Google,LR,19,5,4
Google,LR,19,0,4
Google,LR,19,6,5
Google,LR,19,4,5
Google,LR,19,3,5
Google,LR,19,7,5
Google,LR,19,2,5
Google,LR,20,0,1
Google,LR,20,7,2
Google,LR,20,11,3
Google,LR,20,6,3
Google,LR,20,5,3
Google,LR,20,2,3
Google,LR,20,4,3
Google,LR,20,9,3
Google,LR,20,10,3
Google,LR,20,1,3
Google,LR,20,3,3
Google,LR,20,8,3
Google,LR,21,6,1
Google,LR,21,11,2
Google,LR,21,9,2
Google,LR,21,10,2
Google,LR,21,0,2
Google,LR,21,2,2
Google,LR,21,3,2
Google,LR,21,7,2
Google,LR,21,1,2
Google,LR,21,8,2
Google,LR,21,5,2
Google,LR,21,4,2
Google,LR,22,11,1
Google,LR,22,10,2
Google,LR,22,9,3
Google,LR,22,5,3
Google,LR,22,8,4
Google,LR,22,1,4
Google,LR,22,6,4
Google,LR,22,7,4
Google,LR,22,3,4
Google,LR,22,4,4
Google,LR,22,0,5
Google,LR,22,2,5
Google,LR,23,11,1
Google,LR,23,10,1
Google,LR,23,0,1
Google,LR,23,6,2
Google,LR,23,1,2
Google,LR,23,7,2
Google,LR,23,3,3
Google,LR,23,2,3
Google,LR,23,8,3
Google,LR,23,9,3
Google,LR,23,5,3
Google,LR,23,4,3
Google,LR,24,10,1
Google,LR,24,1,2
Google,LR,24,0,2
Google,LR,24,11,3
Google,LR,24,9,3
Google,LR,24,5,4
Google,LR,24,8,4
Google,LR,24,3,4
Google,LR,24,7,4
Google,LR,24,6,4
Google,LR,24,4,4
Google,LR,24,2,4
Google,LR,25,10,1
Google,LR,25,0,2
Google,LR,25,9,3
Google,LR,25,11,3
Google,LR,25,1,3
Google,LR,25,8,4
Google,LR,25,2,4
Google,LR,25,5,4
Google,LR,25,6,4
Google,LR,25,7,4
Google,LR,25,3,4
Google,LR,25,4,5
Google,LR,26,10,1
Google,LR,26,2,2
Google,LR,26,9,2
Google,LR,26,0,2
Google,LR,26,11,3
Google,LR,26,3,3
Google,LR,26,7,3
Google,LR,26,4,3
Google,LR,26,6,3
Google,LR,26,8,3
Google,LR,26,5,3
Google,LR,26,1,3
Google,LR,27,0,1
Google,LR,27,3,2
Google,LR,27,10,2
Google,LR,27,11,3
Google,LR,27,8,3
Google,LR,27,6,3
Google,LR,27,7,3
Google,LR,27,2,4
Google,LR,27,9,4
Google,LR,27,5,4
Google,LR,27,1,4
Google,LR,27,4,4
Google,LR,28,6,1
Google,LR,28,2,1
Google,LR,28,3,2
Google,LR,28,0,2
Google,LR,28,8,2
Google,LR,28,10,2
Google,LR,28,1,3
Google,LR,28,5,3
Google,LR,28,11,3
Google,LR,28,7,3
Google,LR,28,9,3
Google,LR,28,4,3
Google,CART,1,0,1
Google,CART,1,2,1
Google,CART,1,10,2
Google,CART,1,4,2
Google,CART,1,11,3
Google,CART,1,6,3
Google,CART,1,1,3
Google,CART,1,8,3
Google,CART,1,9,3
Google,CART,1,7,3
Google,CART,1,5,3
Google,CART,1,3,3
Google,CART,2,7,1
Google,CART,2,6,1
Google,CART,2,2,1
Google,CART,2,0,1
Google,CART,2,3,1
Google,CART,2,4,1
Google,CART,2,10,2
Google,CART,2,11,2
Google,CART,2,1,2
Google,CART,2,9,2
Google,CART,2,8,2
Google,CART,2,5,2
Google,CART,3,6,1
Google,CART,3,0,1
Google,CART,3,10,1
Google,CART,3,4,1
Google,CART,3,1,1
Google,CART,3,7,1
Google,CART,3,11,2
Google,CART,3,8,2
Google,CART,3,3,2
Google,CART,3,9,2
Google,CART,3,2,2
Google,CART,3,5,2
Google,CART,4,4,1
Google,CART,4,10,1
Google,CART,4,9,2
Google,CART,4,8,2
Google,CART,4,0,2
Google,CART,4,1,2
Google,CART,4,6,3
Google,CART,4,11,3
Google,CART,4,7,3
Google,CART,4,2,3
Google,CART,4,3,4
Google,CART,4,5,4
Google,CART,5,0,1
Google,CART,5,10,1
Google,CART,5,6,1
Google,CART,5,4,1
Google,CART,5,1,1
Google,CART,5,9,1
Google,CART,5,7,2
Google,CART,5,8,2
Google,CART,5,2,2
Google,CART,5,11,2
Google,CART,5,3,2
Google,CART,5,5,3
Google,CART,6,6,1
Google,CART,6,1,1
Google,CART,6,9,1
Google,CART,6,0,1
Google,CART,6,4,1
Google,CART,6,10,2
Google,CART,6,8,2
Google,CART,6,7,2
Google,CART,6,11,2
Google,CART,6,2,2
Google,CART,6,3,3
Google,CART,6,5,3
Google,CART,7,11,1
Google,CART,7,9,1
Google,CART,7,0,1
Google,CART,7,6,1
Google,CART,7,1,1
Google,CART,7,8,1
Google,CART,7,4,1
Google,CART,7,2,1
Google,CART,7,10,1
Google,CART,7,7,1
Google,CART,7,3,2
Google,CART,7,5,2
Google,CART,8,0,1
Google,CART,8,1,2
Google,CART,8,4,2
Google,CART,8,10,2
Google,CART,8,2,3
Google,CART,8,9,3
Google,CART,8,8,3
Google,CART,8,11,3
Google,CART,8,7,3
Google,CART,8,6,3
Google,CART,8,3,4
Google,CART,8,5,4
Google,CART,9,0,1
Google,CART,9,4,1
Google,CART,9,10,1
